index,author,tweet,label,polarity,nouns
1,@MRS_d0t,Venus Williams on Ava DuVernay.,Neutral,0.0,['venus williams', 'ava duvernay']
2,@MaireMcSorley,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
3,@SwanQueenoholic,Venus Williams on Ava DuVernay.,Neutral,0.0,['venus williams', 'ava duvernay']
4,@BitchFlicks,Venus Williams on Ava DuVernay.,Neutral,0.0,['venus williams', 'ava duvernay']
5,@Wjbryan1,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
6,@_scottelder,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
7,@tommarrjohnson,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
8,@primadonna68,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
9,@jaibee007,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
10,@ShizzleMcQuiz,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
11,@lcharrison89,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
12,@stokegriff,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
13,@Goddess1345,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
14,@smartguitar1,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
15,@ThatFreshGuyAz,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
16,@executiverocker,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
17,@WarnerChase,Venus Williams beams alongside her stepmother after Serena's victory via,Neutral,0.0,['venus williams', 'serena', "'s victory"]
18,@lydia_petze,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
19,@Domicima,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
20,@weaseIsquelch,My mate asked "who the fuck is man enough to get Sarena Williams pregnant ?""Probably Venus" I answered,Negative,-0.022222222222222237,['sarena williams', 'venus']
21,@fcukmo,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
22,@Bboonie,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
23,@AdieTurford,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
24,@TheBeesKnees20,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
25,@Paul09333355,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
26,@debrac20,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
27,@Latasha_Hodges,"You have to believe in yourself when no one else does. That's what makes you a winner" ~Venus Williams,Neutral,0.0,['williams']
28,@Stuartjmorrow,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
29,@PhantomofOrange,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
