index,author,tweet,label,polarity,nouns
1,@FilmEssaying,Venus Williams on Ava DuVernay.,Neutral,0.0,['venus williams', 'ava duvernay']
2,@JoshG_W,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
3,@BDDunbar,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
4,@RacketRehab,Venus Williams: I’ll wear whatever Serena wants me to for her wedding |,Positive,0.2,['venus williams', 'i’ll', 'serena', 'wedding |']
5,@marxowski,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
6,@WashKastles,Venus Williams: I’ll wear whatever Serena wants me to for her wedding |,Positive,0.2,['venus williams', 'i’ll', 'serena', 'wedding |']
7,@THemingford,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
8,@mediabizto,Venus Williams on Ava DuVernay.,Neutral,0.0,['venus williams', 'ava duvernay']
9,@AliJongm,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
10,@ElaineEamathews,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
11,@111meeuwis,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
12,@thepaperframes,Venus Williams on Ava DuVernay.,Neutral,0.0,['venus williams', 'ava duvernay']
13,@theindigocode,Venus Williams on Ava DuVernay.,Neutral,0.0,['venus williams', 'ava duvernay']
14,@MRS_d0t,Venus Williams on Ava DuVernay.,Neutral,0.0,['venus williams', 'ava duvernay']
15,@MaireMcSorley,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
16,@SwanQueenoholic,Venus Williams on Ava DuVernay.,Neutral,0.0,['venus williams', 'ava duvernay']
17,@BitchFlicks,Venus Williams on Ava DuVernay.,Neutral,0.0,['venus williams', 'ava duvernay']
18,@Wjbryan1,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
19,@_scottelder,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
20,@tommarrjohnson,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
21,@primadonna68,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
22,@jaibee007,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
23,@ShizzleMcQuiz,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
24,@lcharrison89,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
25,@stokegriff,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
26,@Goddess1345,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
27,@smartguitar1,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
28,@ThatFreshGuyAz,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
29,@executiverocker,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
30,@WarnerChase,Venus Williams beams alongside her stepmother after Serena's victory via,Neutral,0.0,['venus williams', 'serena', "'s victory"]
31,@lydia_petze,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
32,@Domicima,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
33,@weaseIsquelch,My mate asked "who the fuck is man enough to get Sarena Williams pregnant ?""Probably Venus" I answered,Negative,-0.022222222222222237,['sarena williams', 'venus']
34,@fcukmo,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
35,@Bboonie,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
36,@AdieTurford,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
37,@TheBeesKnees20,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
38,@Paul09333355,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
39,@debrac20,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
40,@Latasha_Hodges,"You have to believe in yourself when no one else does. That's what makes you a winner" ~Venus Williams,Neutral,0.0,['williams']
41,@Stuartjmorrow,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
42,@PhantomofOrange,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
43,@IanMyers1463,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
44,@heyitspay,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
45,@SportsApp4U,haveigotnews: Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
46,@Gobberz,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
47,@philview,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
48,@TheNishaDiaries,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
49,@_Bee_eeB_,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
50,@DanGoodliffe,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
51,@t_hare_is,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
52,@FARMULOUS,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
53,@DumbMoreReady,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
54,@kimplicit,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
55,@SazzerCash,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
56,@Deeler16,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
57,@posley88,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
58,@_ObiMoo,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
59,@ahshaik5,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
60,@StefMcDef,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
61,@jamespowell363,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
62,@redsaintuk,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
63,@lu1820,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
64,@dourakuma,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
