index,author,tweet,label,polarity,nouns
1,@SpoonerrG,420 was actually a potent day for all the herb heads out there!!,Positive,0.78125,['potent day', 'herb heads']
2,@mrhenkiCP,Today is the only day you can this. Happy 420,Positive,0.4,['happy']
3,@Countyuordays1,Happy 420 Kush it up day 😜 🌲,Positive,0.8,['kush', 'day 😜 🌲']
4,@swampydruid,Happy 420 you guys. Hope everyone's having a smooth day.,Positive,0.6000000000000001,['hope', 'smooth day']
5,@madeline_starr,Happy 420 day. A reminder of the past,Positive,0.275,[]
6,@elfaizahhh_,happy 420 everyone! starting my day off with a vegan brunch(:,Positive,0.5,['vegan brunch']
7,@Eagle102augusta,Happy "4-20 Day" From Me...And Cheech  Chong!,Positive,1.0,['cheech chong']
8,@gTrends_jp,* NFL Schedule * Cleveland Cavaliers * Cuba Gooding Sr * 420 Day * The Promise * Cavs * Paris * Elizabeth Thomas *…,Neutral,0.0,['nfl schedule', 'cleveland cavaliers', 'cuba gooding sr', 'day *', 'promise', 'cavs', 'paris', 'elizabeth thomas']
9,@lovelydrooms,Me: Happy 420Stoner: Lmao🤣🔥4️⃣2️⃣0️⃣⁉️😂Do you even blaze?😤💦I smoke weed🌬🍁every day💁🏽‍♂️🗓👏No breaks🙅🏽‍♂️RIP☠️Bob Marley✌️S…,Positive,0.8,['happy', 'lmao🤣🔥4️⃣2️⃣0️⃣⁉️😂do', '😤💦i smoke weed🌬🍁every day💁🏽\u200d♂️🗓👏no breaks🙅🏽\u200d♂️rip☠️bob', 'marley✌️s…']
10,@GoogtterBot,GoogleTrend 1:NFL Schedule 2:Cleveland Cavaliers 3:Cuba Gooding Sr 4:420 Day 5:The Promise 6:Cavs 7:Paris,Neutral,0.0,['googletrend', 'nfl schedule', 'cleveland cavaliers', 'cuba gooding sr', 'promise', 'cavs', 'paris']
11,@Dabbin_Daddy,Today is the only day you can this. Happy 420,Positive,0.4,['happy']
12,@bronxfanatic,Police seize 50 pounds of marijuana arrest Bronx man day before "420": NYPD,Negative,-0.05,['marijuana arrest', 'bronx', 'man day', 'nypd']
13,@Glo_Ko,For Rihanna Every Day Is 4/20 via,Neutral,0.0,['rihanna']
14,@Day_RTs,How are you recovering from 420?? I don't celebrate myself,Neutral,0.0,[]
15,@jamesventurajr,Since April 20 is now a day to celebrate potheads perhaps we should rename it "Barack Obama Day" Happy 420!,Positive,1.0,['april', 'barack obama', 'happy']
16,@The_Manchez,Happy Lima bean respect day!,Positive,1.0,['lima', 'bean respect day']
17,@JDX_News,At 4:20 on 4/20 hundreds of Israelis began smoking pot to mark "Weed Day" and recent marijuana decriminalization,Neutral,0.0,['israelis', 'weed', 'recent marijuana decriminalization']
18,@coat_mink_furs,NFL Schedule Cleveland Cavaliers Cuba Gooding Sr 420 Day ...,Neutral,0.0,['nfl schedule cleveland cavaliers cuba gooding sr', 'day ...']
19,@recoveringjust1,What is 420? The meaning behind 'Weed Day',Negative,-0.4,[]
20,@deepblouse101,Post-apocalyptic 420? Waking up the next day to find the world still turning... but you have salad for fingers.#…,Neutral,0.0,['post-apocalyptic', 'waking', 'turning ...', 'fingers. # …']
21,@Wolf98326580,Today is the only day you can this. Happy 420,Positive,0.4,['happy']
22,@slackfemme,you  haha 420 weed dayme an enlightened :,Positive,0.2,[]
23,@VicKorleone6,happy 420 everyone! starting my day off with a vegan brunch(:,Positive,0.5,['vegan brunch']
24,@Des_Plays,Today is the only day you can this. Happy 420,Positive,0.4,['happy']
