index,author,tweet,label,polarity,nouns
1,@theMomiverse,5 Conversations to Have with Your Kids After "Born in China",Neutral,0.0,['conversations', 'have', 'your kids', 'born', 'china']
2,@nickicoupons,In theaters TODAY!!! Do Good for The Planet: Watch Born in China,Positive,0.7,['today', 'planet', 'watch born', 'china']
3,@nickicoupons,Celebrate Earth Day with Born in China + A FREE Activity Packet |,Positive,0.4,['celebrate earth', 'born', 'china', 'free activity packet']
4,@shellthings,. Fun Activity Packet and Educators Guide! Opens in theatres,Positive,0.375,['fun activity packet', 'educators guide', 'opens']
5,@splashofdiva,Celebrate Earth Day with Born in China + A FREE Activity Packet |,Positive,0.4,['celebrate earth', 'born', 'china', 'free activity packet']
6,@monicazyoung,In theaters TODAY!!! Do Good for The Planet: Watch Born in China,Positive,0.7,['today', 'planet', 'watch born', 'china']
7,@ConservamomE,In theaters TODAY!!! Do Good for The Planet: Watch Born in China,Positive,0.7,['today', 'planet', 'watch born', 'china']
8,@bargainbri,Celebrate Earth Day with Born in China!,Neutral,0.0,['celebrate earth', 'born', 'china']
9,@coolchillmom,In theaters TODAY!!! Do Good for The Planet: Watch Born in China,Positive,0.7,['today', 'planet', 'watch born', 'china']
10,@MpMixson,has a cuteness factor of 100.Read our to understand how,Neutral,0.0,['cuteness factor']
11,@loisaltermark,Celebrate with See it opening week 2 help  Snow…,Neutral,0.0,['celebrate', 'snow…']
12,@ARockenBrown,Presenting what we learned about China and the animals of the Born in China movie before we head to t…,Neutral,0.0,['presenting', 'china', 'born', 'china']
13,@DrRiaSingh,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
14,@CineplexMovies,Don't look so surprised little one! is in theatres now! Get your tickets here:…,Negative,-0.096484375,["n't look"]
15,@ARockenBrown,Presenting what we learned about China and the animals of the Born in China movie before we head to t…,Neutral,0.0,['presenting', 'china', 'born', 'china']
16,@abrinkmannn,I wanna see trauma  born in China😭,Neutral,0.0,['wan na', 'china😭']
17,@WaukeePatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
18,@HollistonPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
19,@AnkenyPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
20,@PerryHallPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
21,@solonpatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
22,@RestonPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
23,@SHarborPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
24,@GulfportPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
25,@BridgeportPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
26,@HopkintonPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
27,@HerndonPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
28,@BanningPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
29,@ClarendonPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
30,@FremontPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
31,@AlexandriaPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
32,@GrotonCTPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
33,@BWPatch,It's between a panda family in Disneynature’s “Born in China” and two Oscar winners this weekend. Find out which……,Neutral,0.0,['panda family', 'disneynature’s', 'china”', 'oscar', 'find']
34,@GreenbeltPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
35,@PatchMass,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
36,@SilvSpringPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
37,@ProspectHtPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
38,@NorwichPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
39,@MontILPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
40,@YorkvillePatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
41,@PalmDesertPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
42,@NorthbrookPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
43,@FarmingtonPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
44,@WethersfldPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
45,@EncinoPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
46,@ReadingMAPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
47,@monroepatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
48,@WestHavenPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
49,@CedarParkPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
50,@SwanseaMAPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
51,@WestminstrPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
52,@RivertownsPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
53,@ForestParkPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
54,@HuntingtonPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
55,@EastLakePatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
56,@PalmHarborPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
57,@LakeZurichPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
58,@MadisonCTPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
59,@LivPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
60,@JohnstonIAPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
61,@StCharlsMOPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
62,@FlatbushPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
63,@PelhamPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
64,@NWhitehallPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
65,@WaylandMAPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
66,@MBPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
67,@FlorissantPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
68,@ArlCoVAPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
69,@BethelPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
70,@LexingtnSCPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
71,@BalwinElisPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
72,@NorthEndPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
73,@RockvillePatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
74,@SnellvillePatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
75,@SumvillePatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
76,@MehlOakPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
77,@MilfordCTPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
78,@NilesMGILPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
79,@AnnandalePatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
80,@PortWashWIPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
81,@MtVernonPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
82,@UrbandalePatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
