index,author,tweet,label,polarity,nouns
1,@donnasmusicqkTW,Born in China Official 'Earth Day' Trailer (2017) - Disneynature Documen...,Neutral,0.0,['born', 'china', "official 'earth day", 'trailer', 'disneynature documen']
2,@donnasmusicqkTW,Born in China Movie Clip - Meet Dawa (2017) | Movieclips Coming Soon,Neutral,0.0,['born', 'china movie clip', 'dawa', 'movieclips coming']
3,@dnmarketplace,Good domain possibility?: www.Born in ?? Its trending on google...,Positive,0.7,['good domain possibility', 'google ...']
4,@BOB_VERSACE,Prince Pittsburgh Penguins Born in China Ledell Lee ...,Neutral,0.0,['pittsburgh penguins born', 'china ledell lee']
5,@FactKINGFacts,Popular on Google: * Prince * Pittsburgh Penguins * Born in China * Ledell Lee * France * Eagles Schedule 2017 * Paul George * The Beguiled…,Positive,0.6,['popular', 'google', '* prince *', 'pittsburgh penguins', 'born', 'china', 'ledell lee', 'france', 'schedule', 'paul george', 'beguiled…']
6,@CoralieSeright,In theaters TODAY!!! Do Good for The Planet: Watch Born in China,Positive,0.7,['today', 'planet', 'watch born', 'china']
7,@nyc_food_guide,John Krasinski Freaking Out Over Adorable Baby Animals,Positive,0.5,['john krasinski freaking', 'baby animals']
8,@zepcook,ZepCook Find the best kitchen-tested recipes videos healthy meals party menus and cooking techniques from top cooks. in China zepc…,Positive,0.6666666666666666,['zepcook find', 'recipes videos healthy meals party menus', 'cooking techniques', 'top cooks', 'china']
9,@traveljenn,Celebrate Earth Day with Born in China + A FREE Activity Packet |,Positive,0.4,['celebrate earth', 'born', 'china', 'free activity packet']
10,@LSHamptonPatch,It's between a panda family in Disneynature’s “Born in China” and two Oscar winners this weekend. Find out which...,Neutral,0.0,['panda family', 'disneynature’s', 'china”', 'oscar', 'find']
11,@arizonafamilies,I've just posted a new blog: Disneynature's Born In China Opens Today {Word Wildlife Fund Donation and Activity Pa…,Positive,0.13636363636363635,['new blog', 'disneynature', 'born', 'china opens', '{ word', 'wildlife', 'donation', 'activity pa…']
12,@theMomiverse,5 Conversations to Have with Your Kids After "Born in China",Neutral,0.0,['conversations', 'have', 'your kids', 'born', 'china']
13,@nickicoupons,In theaters TODAY!!! Do Good for The Planet: Watch Born in China,Positive,0.7,['today', 'planet', 'watch born', 'china']
14,@nickicoupons,Celebrate Earth Day with Born in China + A FREE Activity Packet |,Positive,0.4,['celebrate earth', 'born', 'china', 'free activity packet']
15,@shellthings,. Fun Activity Packet and Educators Guide! Opens in theatres,Positive,0.375,['fun activity packet', 'educators guide', 'opens']
16,@splashofdiva,Celebrate Earth Day with Born in China + A FREE Activity Packet |,Positive,0.4,['celebrate earth', 'born', 'china', 'free activity packet']
17,@monicazyoung,In theaters TODAY!!! Do Good for The Planet: Watch Born in China,Positive,0.7,['today', 'planet', 'watch born', 'china']
18,@ConservamomE,In theaters TODAY!!! Do Good for The Planet: Watch Born in China,Positive,0.7,['today', 'planet', 'watch born', 'china']
19,@bargainbri,Celebrate Earth Day with Born in China!,Neutral,0.0,['celebrate earth', 'born', 'china']
20,@coolchillmom,In theaters TODAY!!! Do Good for The Planet: Watch Born in China,Positive,0.7,['today', 'planet', 'watch born', 'china']
21,@MpMixson,has a cuteness factor of 100.Read our to understand how,Neutral,0.0,['cuteness factor']
22,@loisaltermark,Celebrate with See it opening week 2 help  Snow…,Neutral,0.0,['celebrate', 'snow…']
23,@ARockenBrown,Presenting what we learned about China and the animals of the Born in China movie before we head to t…,Neutral,0.0,['presenting', 'china', 'born', 'china']
24,@DrRiaSingh,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
25,@CineplexMovies,Don't look so surprised little one! is in theatres now! Get your tickets here:…,Negative,-0.096484375,["n't look"]
26,@ARockenBrown,Presenting what we learned about China and the animals of the Born in China movie before we head to t…,Neutral,0.0,['presenting', 'china', 'born', 'china']
27,@abrinkmannn,I wanna see trauma  born in China😭,Neutral,0.0,['wan na', 'china😭']
28,@WaukeePatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
29,@HollistonPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
30,@AnkenyPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
31,@PerryHallPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
32,@solonpatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
33,@RestonPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
34,@SHarborPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
35,@GulfportPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
36,@BridgeportPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
37,@HopkintonPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
38,@HerndonPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
39,@BanningPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
40,@ClarendonPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
41,@FremontPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
42,@AlexandriaPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
43,@GrotonCTPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
44,@BWPatch,It's between a panda family in Disneynature’s “Born in China” and two Oscar winners this weekend. Find out which……,Neutral,0.0,['panda family', 'disneynature’s', 'china”', 'oscar', 'find']
45,@GreenbeltPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
46,@PatchMass,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
