index,author,tweet,label,polarity,nouns
1,@eazeee2004,Breakdown of Eagles' 2017 schedule,Neutral,0.0,['breakdown']
2,@eazeee2004,Analyzing the Eagles' 2017 schedule,Neutral,0.0,['analyzing']
3,@eazeee2004,2017 NFL schedule: 10 Thoughts on the Eagles,Neutral,0.0,['nfl', 'thoughts']
4,@eazeee2004,Eagles 2017 schedule: Can Carson Wentz improve..,Neutral,0.0,['carson wentz']
5,@ashleygennett,And here it is: The 2017 regular season schedule,Neutral,0.0,['regular season schedule']
6,@eazeee2004,Eagles 2017 Schedule: Here are the games that ..,Neutral,0.0,['schedule']
7,@jestrada_swoosh,Eagles and Cowboys tie for 10th strongest schedule in 2017,Neutral,0.0,['cowboys']
8,@eazeee2004,Philadelphia Eagles 2017 schedule,Neutral,0.0,[]
9,@DeRsKeezY,And here it is: The 2017 regular season schedule,Neutral,0.0,['regular season schedule']
10,@_Telly_15,And here it is: The 2017 regular season schedule,Neutral,0.0,['regular season schedule']
11,@eazeee2004,The 2017 Eagles Regular Season Schedule Has Been Released -,Neutral,0.0,['regular season schedule', 'been released']
12,@elizabethnick_,Here's another look at the 2017 schedule. Preseason dates and times were officially set too.,Neutral,0.0,['preseason']
13,@BingBang35,And here it is: The 2017 regular season schedule,Neutral,0.0,['regular season schedule']
14,@eazeee2004,An in-depth look at the Eagles schedule (By:,Neutral,0.0,['in-depth look']
15,@eazeee2004,Three great things about the Eagles’ 2017 schedule,Positive,0.8,['great things', 'eagles’']
16,@eazeee2004,Philadelphia Eagles game-by-game record prediction for 2017,Neutral,0.0,['game-by-game record prediction']
17,@eazeee2004,The 2017 schedule has officially been released! Take a look at the entire schedule here:,Neutral,0.0,['entire schedule']
18,@BuzzCollins,And here it is: The 2017 regular season schedule,Neutral,0.0,['regular season schedule']
19,@sherrydfisher,Birds schedule is out. has highlights has game-by-game breakdown,Neutral,0.0,['game-by-game breakdown']
20,@eazeee2004,Analyzing schedule a test early late and lots of travel. Here are the details: via,Negative,-0.09999999999999999,['analyzing']
21,@eazeee2004,schedule a test early late w/lots of travel. A breakdown of the 2017 schedule. via,Negative,-0.09999999999999999,['late w/lots']
22,@eazeee2004,According to these are the toughest games on the 2017 schedule.,Neutral,0.0,['according', 'toughest games']
23,@sherrydfisher,Here's another look at the 2017 schedule. Preseason dates and times were officially set too.,Neutral,0.0,['preseason']
24,@MRfanFball,NFL Schedule Rumors: Giants to play Redskins on Thanksgiving Night ||,Neutral,0.0,['nfl schedule rumors', 'redskins', 'thanksgiving', 'night ||']
25,@latest_ooyuz,Breakdown of Eagles' 2017 schedule.. Related Articles:,Neutral,0.0,['breakdown', 'related articles']
