index,author,tweet,label,polarity,nouns
1,@lifeofhasan,Mia Khalifa HIV positive ? thank God it wasn't Teanna Trump the world needs her,Positive,0.22727272727272727,['mia khalifa hiv', 'god', 'teanna trump', 'world needs']
2,@IbrahimJrXO,Mia Khalifa has aids now all she gotta do now is have sex with Magic Johnson and PEMDAS will cancel it out,Positive,0.5,['mia khalifa', 'magic johnson', 'pemdas']
3,@ReidMisenhimer,If Mia Khalifa and Magic Johnson fuck won't the HIV cancel out? Ain't that PEMDAS or some shit?,Negative,-0.03333333333333335,['mia khalifa', 'magic johnson', "fuck wo n't", 'hiv', 'ai', 'pemdas']
4,@ThumbsUpDallas,"Mia khalifa got hiv bro. If you beat off to her you got hiv by association",Neutral,0.0,['mia', 'hiv bro']
5,@SixWordText,Woah!!😭 Porn Sensation Mia Khalifa responded to her Critics by posting 15 jaw Dropping videos😳🙈. Must Check Out Now,Neutral,0.0,['woah', 'porn sensation mia khalifa', 'critics', 'dropping']
6,@rockstaropen,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
7,@raviraj9504a,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
8,@rock_the_party_,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
9,@porantext_,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
10,@mrslovelykumari,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
11,@Ohgod780Hero,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
12,@pappuku32831597,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
13,@patanjalirishi2,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
14,@PALL_RANI,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
15,@Realantionship1,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
16,@RitikaSarma1,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
17,@rajhavraj,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
18,@prabhat20682140,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
19,@porantexts,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
20,@rajhav_kumar,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
21,@RajhavRajiv,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
22,@premranjan00091,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
23,@quito_girl,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
24,@racer_a2,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
25,@quito_osho,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
26,@pritendparents,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
