index,author,tweet,label,polarity,nouns
1,@submit2bbc,If the Milwaukee Bucks win their series against the Toronto Raptors everyone that retweets this  follows me will get my nudes,Positive,0.8,['milwaukee', 'toronto raptors']
2,@MilwaukeeCP,Who has Milwaukee Bucks playoff fever??? Huge win in game 3 over the Raptors!! Game 4...,Positive,0.04375000000000004,['who', 'milwaukee', 'playoff fever', 'huge', 'raptors', 'game']
3,@MilwaukeeCP,On to Game 4! Milwaukee Bucks lead series 2-1 pep rally noon Saturday before tip off 2pm fearthedeer Toronto…,Negative,-0.5,['game', 'milwaukee', 'lead series', 'pep rally noon', '2pm fearthedeer', 'toronto…']
4,@rikashad_e,If the Milwaukee Bucks win their series against the Toronto Raptors everyone that retweets this  follows me will get my nudes,Positive,0.8,['milwaukee', 'toronto raptors']
5,@tauraz_one,If the Milwaukee Bucks win their series against the Toronto Raptors everyone that retweets this  follows me will get my nudes,Positive,0.8,['milwaukee', 'toronto raptors']
6,@lasose2002,Milwaukee Bucks 104 Toronto Raptors 77K Middleton 20 por los BucksK Lowry y D Wright 13 c/u por los RaptorsBucks 2-1,Neutral,0.0,['milwaukee', 'toronto raptors', 'middleton', 'por los', 'bucksk lowry', 'd wright', 'c/u por los', 'raptorsbucks']
7,@DubC216,If the Milwaukee Bucks win their series against the Toronto Raptors everyone that retweets this  follows me will get my nudes,Positive,0.8,['milwaukee', 'toronto raptors']
8,@MrSabotage,If the Milwaukee Bucks win their series against the Toronto Raptors everyone that retweets this  follows me will get my nudes,Positive,0.8,['milwaukee', 'toronto raptors']
9,@AGHCID,If the Milwaukee Bucks win their series against the Toronto Raptors everyone that retweets this  follows me will get my nudes,Positive,0.8,['milwaukee', 'toronto raptors']
10,@linadbg,Bucks sign Jared Cunningham replenishing depleted backcourt,Neutral,0.0,['jared cunningham']
11,@Slammysees,If the Milwaukee Bucks win their series against the Toronto Raptors everyone that retweets this  follows me will get my nudes,Positive,0.8,['milwaukee', 'toronto raptors']
12,@PthaGoat8,Bucks handle business 💪🏽Milwaukee routs Toronto 104-77 to take a 2-1 series lead#NBAPlayoffs,Neutral,0.0,['business 💪🏽milwaukee routs', 'toronto', 'series lead #', 'nbaplayoffs']
13,@Ted_X,If the Milwaukee Bucks win their series against the Toronto Raptors everyone that retweets this  follows me will get my nudes,Positive,0.8,['milwaukee', 'toronto raptors']
14,@Jen_Lask,Bucks overwhelm Raptors 104-77 take 2-1 series lead,Neutral,0.0,['raptors', 'series lead']
15,@ChristheTweeter,at the Milwaukee Bucks game tonight,Negative,-0.4,['milwaukee']
16,@4SHOBANGERS,If the Milwaukee Bucks win their series against the Toronto Raptors everyone that retweets this  follows me will get my nudes,Positive,0.8,['milwaukee', 'toronto raptors']
17,@Silva_Andretti,If the Milwaukee Bucks win their series against the Toronto Raptors everyone that retweets this  follows me will get my nudes,Positive,0.8,['milwaukee', 'toronto raptors']
