index,author,tweet,label,polarity,nouns
1,@ham12ham,Trump just tweeted that it's ridiculous to hold him to a standard of getting stuff done the first 100 days. THIS was his o…,Negative,-0.027777777777777773,['trump', 'this']
2,@JoJesska,Trump just tweeted that it's ridiculous to hold him to a standard of getting stuff done the first 100 days. THIS was his o…,Negative,-0.027777777777777773,['trump', 'this']
3,@_Mr3000_,Trump just tweeted that it's ridiculous to hold him to a standard of getting stuff done the first 100 days. THIS was his o…,Negative,-0.027777777777777773,['trump', 'this']
4,@MrBanker12,Trump just tweeted that it's ridiculous to hold him to a standard of getting stuff done the first 100 days. THIS was his o…,Negative,-0.027777777777777773,['trump', 'this']
5,@Vilinthril,The new McDonald's uniforms look like something out of a 1970s dystopia,Positive,0.13636363636363635,['mcdonald', "'s uniforms", '1970s dystopia']
6,@RebeckaMai,Trump just tweeted that it's ridiculous to hold him to a standard of getting stuff done the first 100 days. THIS was his o…,Negative,-0.027777777777777773,['trump', 'this']
7,@GuthrieDavis,Trump just tweeted that it's ridiculous to hold him to a standard of getting stuff done the first 100 days. THIS was his o…,Negative,-0.027777777777777773,['trump', 'this']
8,@jimenezana,Trump just tweeted that it's ridiculous to hold him to a standard of getting stuff done the first 100 days. THIS was his o…,Negative,-0.027777777777777773,['trump', 'this']
9,@_damnndayy,this aint the old day ... promise on my grandma I will show out for a hoe 🙂,Positive,0.1,['old day ...', 'hoe 🙂']
10,@robvertrees,Trump just tweeted that it's ridiculous to hold him to a standard of getting stuff done the first 100 days. THIS was his o…,Negative,-0.027777777777777773,['trump', 'this']
11,@TakeOff_757,Trump just tweeted that it's ridiculous to hold him to a standard of getting stuff done the first 100 days. THIS was his o…,Negative,-0.027777777777777773,['trump', 'this']
12,@F_OutMyDMs,It's just a iced beverage y'all. It will be ok I promise. It's just for the experience,Positive,0.5,["beverage y'all"]
13,@Ali_Ahmed209,Customer service-diamond jewelryWe promise customer the following four po ...,Neutral,0.0,['customer', 'service-diamond jewelrywe', 'po ...']
14,@MedeirosJxo,Tell your girl she's beautiful every morning I promise you she'll be happier throughout the day,Positive,0.85,[]
15,@myITthing,New McDonald's Uniforms Promise to Usher in the Logan's Run Dystopia We've All Been Waiting For via,Positive,0.13636363636363635,['mcdonald', 'uniforms promise', 'usher', 'logan', 'run dystopia', 'been waiting']
